Sample,Category,Length,Count
Cells-G3,pDS-noGFPw,29,667
Cells-G3,pDS-noGFPw,30,498
Cells-G3,pDS-noGFPw,31,383
Cells-G3,pDS-noGFPw,32,295
Cells-G3,pDS-noGFPw,33,248
Cells-G3,pDS-noGFPw,34,231
Cells-G3,pDS-noGFPw,35,119
Cells-G3,pDS-noGFPw,36,85
Cells-G3,pDS-noGFPw,37,32
Cells-G3,pDS-noGFPw,38,30
Cells-G3,pDS-noGFPw,39,25
Cells-G3,pDS-noGFPw,40,19
Cells-G3,pDS-noGFPw,41,14
Cells-G3,pDS-noGFPw,42,5
Cells-G3,pDS-noGFPw,43,3
Cells-G3,pDS-noGFPw,44,5
Cells-G3,pDS-noGFPw,45,5
Cells-G3,pDS-noGFPw,46,2
Cells-G3,pDS-noGFPw,47,5
Cells-G3,pDS-noGFPw,48,4
Cells-G3,pDS-noGFPw,50,1
Cells-G3,pDS-noGFPw,51,2
Cells-G3,pDS-noGFPw,52,1
Cells-G3,pDS-noGFPw,56,1
MVs-G1,NZ_CP007446.1,15,39279
MVs-G1,NZ_CP007446.1,16,72114
MVs-G1,NZ_CP007446.1,17,78417
MVs-G1,NZ_CP007446.1,18,122017
MVs-G1,NZ_CP007446.1,19,219673
MVs-G1,NZ_CP007446.1,20,222696
MVs-G1,NZ_CP007446.1,21,197499
MVs-G1,NZ_CP007446.1,22,186787
MVs-G1,NZ_CP007446.1,23,190953
MVs-G1,NZ_CP007446.1,24,170630
MVs-G1,NZ_CP007446.1,25,135177
MVs-G1,NZ_CP007446.1,26,113828
MVs-G1,NZ_CP007446.1,27,108417
MVs-G1,NZ_CP007446.1,28,115248
MVs-G1,NZ_CP007446.1,29,93804
MVs-G1,NZ_CP007446.1,30,80470
MVs-G1,NZ_CP007446.1,31,72888
MVs-G1,NZ_CP007446.1,32,54417
MVs-G1,NZ_CP007446.1,33,41566
MVs-G1,NZ_CP007446.1,34,23245
MVs-G1,NZ_CP007446.1,35,15513
MVs-G1,NZ_CP007446.1,36,7730
MVs-G1,NZ_CP007446.1,37,5490
MVs-G1,NZ_CP007446.1,38,2940
MVs-G1,NZ_CP007446.1,39,2043
MVs-G1,NZ_CP007446.1,40,1286
MVs-G1,NZ_CP007446.1,41,918
MVs-G1,NZ_CP007446.1,42,905
MVs-G1,NZ_CP007446.1,43,442
MVs-G1,NZ_CP007446.1,44,263
MVs-G1,NZ_CP007446.1,45,131
MVs-G1,NZ_CP007446.1,46,70
MVs-G1,NZ_CP007446.1,47,43
MVs-G1,NZ_CP007446.1,48,29
MVs-G1,NZ_CP007446.1,49,16
MVs-G1,NZ_CP007446.1,50,7
MVs-G1,NZ_CP007446.1,51,5
MVs-G1,NZ_CP007446.1,52,7
MVs-G1,NZ_CP007446.1,53,4
MVs-G1,NZ_CP007446.1,54,2
MVs-G1,NZ_CP007446.1,60,1
MVs-G1,NZ_CP007446.1,65,1
MVs-G1,NZ_CP007446.1,71,1
MVs-G1,GFP_wPT,15,4211
MVs-G1,GFP_wPT,16,2494
MVs-G1,GFP_wPT,17,3357
MVs-G1,GFP_wPT,18,5784
MVs-G1,GFP_wPT,19,8676
MVs-G1,GFP_wPT,20,6950
MVs-G1,GFP_wPT,21,10381
MVs-G1,GFP_wPT,22,7767
MVs-G1,GFP_wPT,23,9649
MVs-G1,GFP_wPT,24,4517
MVs-G1,GFP_wPT,25,5179
MVs-G1,GFP_wPT,26,3099
MVs-G1,GFP_wPT,27,2768
MVs-G1,GFP_wPT,28,2968
MVs-G1,GFP_wPT,29,1747
MVs-G1,GFP_wPT,30,1355
MVs-G1,GFP_wPT,31,813
MVs-G1,GFP_wPT,32,625
MVs-G1,GFP_wPT,33,407
MVs-G1,GFP_wPT,34,263
MVs-G1,GFP_wPT,35,179
MVs-G1,GFP_wPT,36,96
MVs-G1,GFP_wPT,37,72
MVs-G1,GFP_wPT,38,42
MVs-G1,GFP_wPT,39,13
MVs-G1,GFP_wPT,40,31
MVs-G1,GFP_wPT,41,12
MVs-G1,GFP_wPT,42,9
MVs-G1,GFP_wPT,43,8
MVs-G1,GFP_wPT,44,4
MVs-G1,GFP_wPT,45,3
MVs-G1,pDS-noGFPw,15,332
MVs-G1,pDS-noGFPw,16,420
MVs-G1,pDS-noGFPw,17,624
MVs-G1,pDS-noGFPw,18,937
MVs-G1,pDS-noGFPw,19,1072
MVs-G1,pDS-noGFPw,20,1156
MVs-G1,pDS-noGFPw,21,1435
MVs-G1,pDS-noGFPw,22,1183
MVs-G1,pDS-noGFPw,23,975
MVs-G1,pDS-noGFPw,24,786
MVs-G1,pDS-noGFPw,25,689
MVs-G1,pDS-noGFPw,26,610
MVs-G1,pDS-noGFPw,27,575
MVs-G1,pDS-noGFPw,28,440
MVs-G1,pDS-noGFPw,29,391
MVs-G1,pDS-noGFPw,30,381
MVs-G1,pDS-noGFPw,31,223
